[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 103: was 0x00000000fef02d20
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 108: was 0x00000000fef02ec8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.security.SecureClassLoader archived mirror 0x00000000fef02ec8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 322: was 0x00000000fef09130
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.ReflectiveOperationException archived mirror 0x00000000fef09130
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 153: was 0x00000000fef04198
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.ClassNotFoundException archived mirror 0x00000000fef04198
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 154: was 0x00000000fef04218
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 139: was 0x00000000fef03b98
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.Record archived mirror 0x00000000fef03b98
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 158: was 0x00000000fef04398
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.LinkageError archived mirror 0x00000000fef04398
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 167: was 0x00000000fef047d0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.NoClassDefFoundError archived mirror 0x00000000fef047d0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 152: was 0x00000000fef04120
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.ClassCastException archived mirror 0x00000000fef04120
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 151: was 0x00000000fef040a8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.ArrayStoreException archived mirror 0x00000000fef040a8
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 170: was 0x00000000fef04938
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.VirtualMachineError archived mirror 0x00000000fef04938
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 745: was 0x00000000fef147c0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored [Ljava.lang.VirtualMachineError; archived mirror 0x00000000fef147c0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 166: was 0x00000000fef04758
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.InternalError archived mirror 0x00000000fef04758
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 169: was 0x00000000fef048c0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored java.lang.OutOfMemoryError archived mirror 0x00000000fef048c0
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][debug] Clearing root 746: was 0x00000000fef14830
[2026-04-23T01:44:39.260-0400][0.058s][982792][982793][trace] Restored [Ljava.lang.OutOfMemoryError; archived mirror 0x00000000fef14830
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][debug] Clearing root 171: was 0x00000000fef049b0
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][trace] Restored java.lang.StackOverflowError archived mirror 0x00000000fef049b0
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][debug] Clearing root 156: was 0x00000000fef042a8
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][trace] Restored java.lang.IllegalMonitorStateException archived mirror 0x00000000fef042a8
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][debug] Clearing root 71: was 0x00000000fef02160
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][trace] Restored java.lang.ref.Reference archived mirror 0x00000000fef02160
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][debug] Clearing root 72: was 0x00000000fef021d8
[2026-04-23T01:44:39.260-0400][0.059s][982792][982793][debug] Clearing root 1052: was 0x00000000fef1efa8
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored [Ljava.lang.ref.Reference; archived mirror 0x00000000fef1efa8
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 73: was 0x00000000fef021f0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored java.lang.ref.SoftReference archived mirror 0x00000000fef021f0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 1226: was 0x00000000fef22ea0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored [Ljava.lang.ref.SoftReference; archived mirror 0x00000000fef22ea0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 74: was 0x00000000fef02268
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored java.lang.ref.WeakReference archived mirror 0x00000000fef02268
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 1053: was 0x00000000fef1f018
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored [Ljava.lang.ref.WeakReference; archived mirror 0x00000000fef1f018
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 75: was 0x00000000fef022d8
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored java.lang.ref.FinalReference archived mirror 0x00000000fef022d8
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 76: was 0x00000000fef02348
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 77: was 0x00000000fef02360
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored java.lang.ref.PhantomReference archived mirror 0x00000000fef02360
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 78: was 0x00000000fef023d0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored java.lang.ref.Finalizer archived mirror 0x00000000fef023d0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 482: was 0x00000000fef0d538
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored java.lang.Runnable archived mirror 0x00000000fef0d538
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 849: was 0x00000000fef172a0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][trace] Restored [Ljava.lang.Runnable; archived mirror 0x00000000fef172a0
[2026-04-23T01:44:39.261-0400][0.059s][982792][982793][debug] Clearing root 31: was 0x00000000fef00f38
